"Permit","Api","WellName","AreaName","FieldName","PoolNames","CurrentClass","CurrentStatus","SpudDate","OperatorName","AEO","AIO","CO","DIO","ERIO","O","SIO"
194136,50733204620000,"TRADING BAY UNIT M-32","COOK INLET BASIN","MCARTHUR RIVER","MIDDLE KENAI G OIL, UNDEFINED OIL","Development","Plugged & Abandoned","10/25/1994 12:00:00 AM","Union Oil Company of California","","AIO 5 19, AIO 5 28, AIO 5 31","CO 80 70, CO 80 74, CO 80 75, CO 80 85, CO 80 88, CO 80 A","","","",""
199097,50733204620100,"TRADING BAY UNIT M-32RD","COOK INLET BASIN","MCARTHUR RIVER","HEMLOCK OIL, MIDDLE KENAI G OIL, MIDDLE KENAI GAS","Development","Plugged & Abandoned","11/18/1999 12:00:00 AM","Hilcorp Alaska, LLC","","AIO 5 8, AIO 5 14, AIO 5 15, AIO 5 19, AIO 5 21, AIO 5 26, AIO 5 28, AIO 5 29, AIO 5 31, AIO 6 3","CO 79, CO 80 9, CO 80 10, CO 80 12, CO 80 14, CO 80 15, CO 80 16, CO 80 18, CO 80 19, CO 80 21, CO 80 26, CO 80 30, CO 80 32, CO 80 33, CO 80 42, CO 80 45, CO 80 48, CO 80 50, CO 80 59, CO 80 64, CO 80 66, CO 80 67, CO 80 70, CO 80 72, CO 80 74, CO 80 75, CO 80 76, CO 80 81, CO 80 83, CO 80 84, CO 80 85, CO 80 88, CO 80 A, CO 92, CO 228 2, CO 228 3, CO 228 4, CO 228 5, CO 228 6, CO 228 7, CO 459","","","",""
217091,50733204620200,"TRADING BAY UNIT M-32RD2","COOK INLET BASIN","MCARTHUR RIVER","WEST FORELAND OIL","Development","Oil well, single completion","7/23/2017 12:00:00 AM","Hilcorp Alaska, LLC","","","CO 80 53, CO 226","","","",""
194136,50733204627000,"TRADING BAY UNIT M-32PB1","COOK INLET BASIN","MCARTHUR RIVER","Unknown","Development","Plugged & Abandoned","","Union Oil Company of California","","","","","","",""
194136,50733204627100,"TRADING BAY UNIT M-32PB2","COOK INLET BASIN","MCARTHUR RIVER","Unknown","Development","Plugged & Abandoned","","Union Oil Company of California","","","","","","",""
194136,50733204627200,"TRADING BAY UNIT M-32PB3","COOK INLET BASIN","MCARTHUR RIVER","Unknown","Development","Plugged & Abandoned","","Union Oil Company of California","","","","","","",""
195003,50733204630000,"GRANITE PT ST 18742 50","COOK INLET BASIN","GRANITE PT","MIDDLE KENAI OIL","Development","Oil well, single completion","1/17/1995 12:00:00 AM","Hilcorp Alaska, LLC","","AIO 6 2, AIO 6 4, AIO 6 5, AIO 6 7, AIO 6 8, AIO 6 9, AIO 6 10, AIO 6 12, AIO 6 13, AIO 11, AIO 11 1, AIO 11 2","CO 37, CO 39, CO 50, CO 52, CO 55, CO 58, CO 70, CO 75, CO 76 4, CO 340, CO 355, CO 370, CO 371, CO 383, CO 397","","","",""
195004,50733204640000,"GRANITE PT ST 18742 51","COOK INLET BASIN","GRANITE PT","MIDDLE KENAI OIL","Development","Oil well, single completion","1/20/1995 12:00:00 AM","Hilcorp Alaska, LLC","","AIO 6 2, AIO 6 4, AIO 6 5, AIO 6 7, AIO 6 8, AIO 6 9, AIO 6 10, AIO 6 12, AIO 6 13, AIO 11, AIO 11 1, AIO 11 2","CO 37, CO 39, CO 50, CO 52, CO 55, CO 58, CO 70, CO 75, CO 76 4, CO 340, CO 355, CO 370, CO 371, CO 383, CO 397","","","",""
195005,50733204650000,"GRANITE PT ST 18742 52","COOK INLET BASIN","GRANITE PT","MIDDLE KENAI OIL","Development","Suspended well","1/21/1995 12:00:00 AM","Hilcorp Alaska, LLC","","AIO 6 2, AIO 6 4, AIO 6 5, AIO 6 7, AIO 6 8, AIO 6 9, AIO 6 10, AIO 6 12, AIO 6 13, AIO 11, AIO 11 1, AIO 11 2","CO 37, CO 39, CO 50, CO 52, CO 55, CO 58, CO 70, CO 75, CO 76 4, CO 340, CO 355, CO 370, CO 371, CO 383, CO 397","","","",""
195199,50733204690000,"MGS ST 17595 31","COOK INLET BASIN","MIDDLE GROUND SHOAL","MIDDLE GRND SHOAL OIL, E F AND G OIL","Development","Suspended well","3/1/1996 12:00:00 AM","Hilcorp Alaska, LLC","","AIO 8 4","CO 44 26","","","",""
